degree,relerr_chebinterp_f64_to_big128,relerr_remez_f64_to_big128
2,6.875933855844360356967650773267449049106,3.404298770693307391392840465662386697381
4,0.3623956683560889284473830400712478185327,0.3775669415875498725303529019078381022809
6,0.03885157296778034375017984938047314452095,0.03031970139038698406040941967027131134325
8,0.0004185759958337152161713990020508925838084,0.0003102905392908332331403718876653796988665
10,8.311597230131547661301662102429999536989e-06,7.834055874367067850155313261777751910852e-06
12,8.553119397432590358581559192267562000202e-08,8.038573733179005286972090171169984636111e-08
14,4.05295109696712632845937274764521166675e-10,4.025765410935223723546939478528304412513e-10
16,3.433140936035666576479498746764468283721e-12,3.345009011203939524646479840940444654986e-12
18,1.782919914503766780343346621000994626282e-14,2.081328581285070915648751975154708819045e-14
20,1.76917393307625573943133105306536654728e-15,3.625194158941807078050105259253640872164e-15
22,5.570260527730161037476957405694891502741e-15,7.775234464492533509740436048591127876094e-15
24,8.930753996638793599472529494966562414022e-16,8.026230411895270084728625207455913012582e-15
26,6.70243000909978653018102191909482086856e-16,3.757156022043491332989629104242662075966e-16
28,3.526495895138342864977007554390498865631e-15,8.21410991272617966010743045792258666039e-16
30,9.043755814983557624984324077664451749632e-16,2.649651369994293412491013686231709890862e-15
32,2.033698925393068114532624752565093840488e-15,1.217091822967954762300143298264882194049e-15
