degree,relerr_chebinterp_f64_to_big128,relerr_remez_f64_to_big128
2,0.3033373705568477731063755769633450659196,0.8225121893657705222338295054271040292091
4,0.28039871006719354690004357631472488034,0.1211695407935680810724253558147074930577
6,0.01642394403180139611995278211136760408776,0.006911200800827681385883343007555393784796
8,0.0005726351873618692807905146760641688904374,0.0003095601098905811472173600517339734684957
10,1.699275440685494472694412641391139929023e-05,1.05698478471909051407724939804819619984e-05
12,4.154308997982783450101071014683640955231e-07,2.805211683028119059468101116577060404083e-07
14,8.283388592263606294669167449522448206361e-09,5.91508788700153327696708620362624658498e-09
16,1.358718484329176762172691376070815086611e-10,1.011191405580943038825363869924345857066e-10
18,1.85227789620207482973597572822762249324e-12,1.423419461139147255428936493070656003051e-12
20,1.962565489642627135861548117991898104616e-14,1.81243593624539843023298170834256035759e-14
22,2.204170782225808152826376862393275618188e-16,3.272353242756357094476202806174673808389e-15
24,1.751098497583277698460262746026982278868e-15,4.910041965276301064951793290737936858999e-15
26,3.546181712932741549605442643474396473737e-15,3.707280733831658406445291719805084238648e-15
28,1.633911517169716689954110330734050412729e-15,2.739009185006335670760951957600817762291e-15
30,3.070503669611123352944629462041828499338e-15,7.636639887157105071021403561810733717183e-16
32,2.708602407864838384294215363484523030023e-15,1.695592564058214870117993667036397221483e-16
